 written on 28Mar2021 at 14:26:50 
          28
          81
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -5   -3    0   13   10    0.000042   -0.000003
   -5   -3    0   14   10   -0.000766   -0.000073
   -5   -3    0   15   10    0.000090    0.000003
   -5   -3    0   16   10   -0.000366   -0.000069
   -5   -3    0   17   10   -0.000032   -0.000028
   -5   -3    0   18   10    0.000669   -0.000127
   -5   -3    0   19   10    0.000024    0.000008
   -5   -3    0   20   10   -0.000048    0.000000
   -5   -3    0   21   10    0.000063    0.000006
   -5   -3    0   22   10   -0.000079    0.000059
   -5   -3    0   23   10    0.000009   -0.000022
   -5   -3    0   24   10   -0.000498   -0.000015
   -5   -3    0   25   10    0.000045    0.000074
   -5   -3    0   26   10   -0.000355   -0.000029
   -5   -3    0   27   10   -0.000041   -0.000008
   -5   -3    0   28   10    0.001458    0.000068
   -5   -3    0    1   11    0.000288    0.000001
   -5   -3    0    2   11   -0.000047    0.000027
   -5   -3    0    3   11   -0.000683   -0.000031
   -5   -3    0    4   11   -0.000015    0.000019
   -5   -3    0    5   11    0.000400   -0.000055
   -5   -3    0    6   11    0.000020    0.000007
   -5   -3    0    7   11    0.000311   -0.000023
   -5   -3    0    8   11    0.000038    0.000051
   -5   -3    0    9   11   -0.000525   -0.000014
   -5   -3    0   10   11    0.000007    0.000039
   -5   -3    0   11   11    0.000239    0.000049
   -5   -3    0   12   11    0.000059   -0.000019
   -5   -3    0   13   11    0.000226    0.000051
   -5   -3    0   14   11    0.000053    0.000010
   -5   -3    0   15   11   -0.000103   -0.000022
   -5   -3    0   16   11   -0.000005   -0.000010
   -5   -3    0   17   11    0.000030   -0.000026
   -5   -3    0   18   11   -0.000041   -0.000012
   -5   -3    0   19   11    0.000485    0.000037
   -5   -3    0   20   11   -0.000030   -0.000038
   -5   -3    0   21   11    0.000249    0.000028
   -5   -3    0   22   11    0.000047   -0.000007
   -5   -3    0   23   11   -0.000605    0.000029
   -5   -3    0   24   11   -0.000014    0.000038
   -5   -3    0   25   11    0.000039   -0.000045
   -5   -3    0   26   11   -0.000008    0.000002
   -5   -3    0   27   11   -0.000117   -0.000064
   -5   -3    0   28   11   -0.000049   -0.000007
   -5   -3    0    1   12    0.000047    0.000027
   -5   -3    0    2   12    0.000288   -0.000001
   -5   -3    0    3   12    0.000015    0.000019
   -5   -3    0    4   12   -0.000683    0.000031
   -5   -3    0    5   12   -0.000020    0.000007
   -5   -3    0    6   12    0.000400    0.000055
   -5   -3    0    7   12   -0.000038    0.000051
   -5   -3    0    8   12    0.000311    0.000023
